site,Site,Species,Replicate,NAG_soil,NAG_OM,AlkP_soil,AlkP_OM,AAP_soil,AAP_OM,BG_soil,BG_OM
Ecotone_BOER_1,E,Boer,1,3,157,50.6,2649.97,257,13460.3,24.68,1292.6
Ecotone_BOER_2,E,Boer,2,1.76,99.58,37.05,2099.76,190.2,10777.96,38.61,2187.88
Ecotone_BOER_3,E,Boer,3,3.45,206.7,38.47,2302.79,150.89,9032.87,42.75,2559.47
Ecotone_BOER_4,E,Boer,4,1.97,90.13,32.53,1486.95,239.21,10935.29,14.47,661.59
Ecotone_BOER_5,E,Boer,5,7.44,408.56,61.17,3359.34,140.05,7691.63,79.78,4381.76
Ecotone_BOER_6,E,Boer,6,3.57,249.49,38.32,2674.93,91.05,6355.4,45.46,3173.16
Ecotone_BOER_7,E,Boer,7,6.86,353.72,52.46,2704.61,200.06,10315.07,49.5,2551.98
Ecotone_BOER_8,E,Boer,8,2.39,127.67,29.14,1559.38,215.34,11523.25,21.56,1153.93
Ecotone_LATR_1,E,Latr,1,3.76,194.75,59.14,3064.45,183.84,9525.28,45.22,2342.88
Ecotone_LATR_2,E,Latr,2,3.52,170.08,34.99,1692.05,110.85,5360.3,35.03,1693.75
Ecotone_LATR_3,E,Latr,3,5.08,221.97,69.35,3029.41,89.78,3921.88,71.82,3137.35
Ecotone_LATR_4,E,Latr,4,3.02,187.93,71.17,4424.06,194.76,12107.4,40.69,2529.4
Ecotone_LATR_5,E,Latr,5,1.72,102.5,31.62,1887.3,192.79,11508.77,20.47,1222.06
Ecotone_LATR_6,E,Latr,6,2.18,112.94,41.44,2151.36,181.86,9440.49,34.46,1788.72
Ecotone_LATR_7,E,Latr,7,5.25,316.22,65.55,3948.67,62.24,3749.33,72.27,4353.8
Ecotone_LATR_8,E,Latr,8,3.07,197.11,23.22,1491.94,144.69,9298.34,21.24,1365.2
Ecotone_PLJA_1,E,Plja,1,3.58,204.55,37.08,2119.37,252.38,14424.73,26.16,1495.16
Ecotone_PLJA_2,E,Plja,2,1.08,70.39,21.4,1393.17,166.28,10826.29,16.85,1096.86
Ecotone_PLJA_3,E,Plja,3,2.14,113.4,31.5,1666.28,161.18,8525.79,33.64,1779.59
Ecotone_PLJA_4,E,Plja,4,4.12,263.92,134.67,8625.86,213.43,13670.82,28.26,1810.26
Ecotone_PLJA_5,E,Plja,5,8.49,504.08,71.1,4220.09,131.62,7812.46,92.21,5472.87
Ecotone_PLJA_6,E,Plja,6,4.44,245.52,41.94,2320.53,169.06,9353.45,44.49,2461.71
Ecotone_PLJA_7,E,Plja,7,4.28,360.6,46.85,3945.92,74.08,6239.17,69.73,5872.96
Ecotone_PLJA_8,E,Plja,8,2.26,125.24,25.31,1404.01,159.02,8822.31,15.9,882.25
Grass_BOER_1,G,Boer,1,2.74,109.36,49,1952.49,280.79,11187.96,24.67,983.01
Grass_BOER_2,G,Boer,2,7.06,298.56,59.01,2496.09,194.39,8222.43,59.96,2536.29
Grass_BOER_3,G,Boer,3,12.84,391.01,103.5,3151.92,239.59,7296.37,112.67,3431.09
Grass_BOER_4,G,Boer,4,6.12,221.62,80.07,2899.79,317.2,11487.83,53.44,1935.21
Grass_BOER_5,G,Boer,5,4.38,181.11,105.02,4339.92,236.47,9772.24,32.99,1363.26
Grass_BOER_6,G,Boer,6,8.87,322.83,50.38,1833.43,152.6,5553.43,55.73,2028.12
Grass_BOER_7,G,Boer,7,11.2,554.6,49.11,2431.69,126.96,6286.86,72.02,3566.38
Grass_BOER_8,G,Boer,8,6.79,248.36,44.42,1623.7,170.38,6228.13,39.47,1442.69
Grass_BOGR_1,G,Bogr,1,5.67,204.96,138.13,4997.25,228.03,8249.39,39.61,1433.01
Grass_BOGR_2,G,Bogr,2,4.72,209.83,54.48,2421.56,313.66,13942.78,35.47,1576.94
Grass_BOGR_3,G,Bogr,3,6.17,213.31,77.99,2694.48,291.55,10073.35,58.93,2035.9
Grass_BOGR_4,G,Bogr,4,3.17,146.6,111.65,5159.54,224.08,10355.69,22.1,1021.49
Grass_BOGR_5,G,Bogr,5,4.96,179.42,56.61,2049.56,163.37,5914.16,42.47,1537.49
Grass_BOGR_6,G,Bogr,6,15.53,714.13,73.56,3382.63,116,5334.56,77.6,3568.42
Grass_BOGR_7,G,Bogr,7,6.98,309.45,37.44,1661.18,177.57,7877.88,28.83,1279.2
Grass_BOGR_8,G,Bogr,8,10.63,442.65,51.58,2148.64,191.21,7964.97,48.79,2032.2
Grass_PLJA_1,G,Plja,1,4.51,181.17,129.67,5212.29,342.91,13783.46,31.6,1270.01
Grass_PLJA_2,G,Plja,2,6.17,222,57.19,2056.37,313.62,11276.9,52.2,1876.81
Grass_PLJA_3,G,Plja,3,2.95,125.09,107,4530.04,211.95,8973.37,22.3,944.33
Grass_PLJA_4,G,Plja,4,4.07,175.85,47.94,2069.07,200.39,8648.55,43.81,1890.73
Grass_PLJA_5,G,Plja,5,7.99,297.61,62.17,2316.13,188.17,7010.22,61.34,2285.43
Grass_PLJA_6,G,Plja,6,7.64,247.12,53.08,1717.2,96.03,3106.83,60.62,1961.17
Grass_PLJA_7,G,Plja,7,8.14,489.45,35.83,2154.27,88.2,5302.99,44.57,2679.47
Grass_PLJA_8,G,Plja,8,4.23,166.53,39.08,1538.19,.,.,29.95,1178.68
Shrub_LATR_1,S,Latr,1,13.85,559.11,160.74,6489.03,190.65,7696.34,73.28,2958.12
Shrub_LATR_2,S,Latr,2,3.48,158.05,34.77,1579.55,265.78,12072.4,30.56,1388.09
Shrub_LATR_3,S,Latr,3,4.24,111.96,150.04,3958.15,259.66,6849.97,39.95,1053.79
Shrub_LATR_4,S,Latr,4,2.3,122.96,103.79,5560.73,219.55,11762.82,30.34,1625.34
Shrub_LATR_5,S,Latr,5,2,105.78,38.81,2056.85,170.92,9058.48,21.54,1141.81
Shrub_LATR_6,S,Latr,6,2.77,148.53,34.44,1844.29,137.94,7386.27,42.49,2275.21
Shrub_LATR_7,S,Latr,7,7.68,328.82,84.02,3595.69,276.26,11822.35,94.85,4059.2
Shrub_LATR_8,S,Latr,8,11.32,418.66,84.24,3114.39,251.21,9287.57,99.52,3679.26
