"","Neg_Cohesion","Pos_Cohesion"
"fungi.Grass.BOGR.1",-0.0306323884947082,0.0767100640526948
"fungi.mock2",-0.0273748995644742,0.0229453002292794
"fungi.Ecotone.LATR.8",-0.0372830151550519,0.0989361883463004
"fungi.SPEGAR.PLJA.4B",-0.0403690975673084,0.0971051250888993
"fungi.SPEGAR.BOER.4A",-0.0348584626916871,0.0962447098699943
"fungi.Ecotone.PLJA.8",-0.0374265075020742,0.0963615269836328
"fungi.Ecotone.PLJA.1",-0.0375418906173118,0.100867062841667
"fungi.SPEGAR.PLJA.3A",-0.0347487967693111,0.0977647072713858
"fungi.Grass.BOER.4",-0.0387723347989207,0.0889598608569811
"fungi.SPEGAR.ARPU.2A",-0.0336172113804958,0.0916517701903325
"fungi.SPEGAR.PLJA.2B",-0.037111209098089,0.0921917751191254
"fungi.Grass.BOER.7",-0.0356599491738444,0.0960932889923699
"fungi.SPEGAR.BOER.1A",-0.0408102330172638,0.091809371859893
"fungi.SPEGAR.BOGR.3B",-0.0403619568641954,0.0993437282125068
"fungi.Ecotone.LATR.5",-0.0285904074712331,0.0830733684162924
"fungi.SPEGAR.BOER.2B",-0.0254062334619205,0.0604023217659002
"fungi.Grass.PLJA.6",-0.0420463061592872,0.0924420618031721
"fungi.Shrub.LATR.8",-0.0373925392058412,0.101838775013442
"fungi.SPEGAR.PLJA.1A",-0.0315938232275101,0.0754069454312899
"fungi.SPEGAR.BOER.4B",-0.0359255167935003,0.100059660187486
"fungi.Grass.BOGR.7",-0.0288791784420092,0.0799775344779176
"fungi.Ecotone.BOER.4",-0.0393669345815838,0.0993616780022663
"fungi.Ecotone.BOER.7",-0.0306696932521521,0.078358869707146
"fungi.Ecotone.PLJA.5",-0.0342917282705442,0.0917593864266679
"fungi.Ecotone.LATR.4",-0.0260602826853234,0.0799593063540176
"fungi.SPEGAR.ARPU.1A",-0.02884080935258,0.0855604262172446
"fungi.SPEGAR.BOGR.2B",-0.0332836163085712,0.0899311736044085
"fungi.SPEGAR.BOGR.1B",-0.0311668382108453,0.0978666057683281
"fungi.SPEGAR.ARPU.1B",-0.0343215296294006,0.0987909292789261
"fungi.Grass.PLJA.5",-0.0301184935721019,0.0804743859292725
"fungi.Grass.PLJA.1",-0.0284926374295932,0.0902862655999634
"fungi.Grass.BOGR.4",-0.0359933958207741,0.0895338547901692
"fungi.SPEGAR.ARPU.4A",-0.0407690519021617,0.0945313684480245
"fungi.Ecotone.PLJA.3",-0.0369871560216042,0.104449531016273
"fungi.Shrub.LATR.3",-0.0410632917316124,0.106752900170456
"fungi.Grass.BOGR.5",-0.0298492453096592,0.0778142160937414
"fungi.SPEGAR.PLJA.4A",-0.0451160351015834,0.0979849957059339
"fungi.SPEGAR.BOER.2A",-0.0391802730889436,0.102579739292133
"fungi.Ecotone.BOER.3",-0.044687592703611,0.107600190385147
"fungi.Ecotone.BOER.8",-0.0416087210514807,0.100963853807762
"fungi.Ecotone.LATR.6",-0.0348477912849558,0.0905449779335491
"fungi.Grass.BOER.6",-0.0314285016447542,0.0847092080040318
"fungi.Grass.PLJA.2",-0.0280943286580976,0.0777768475817805
"fungi.Shrub.LATR.7",-0.0387420078598995,0.103871483197864
"fungi.Shrub.LATR.5",-0.0204779910485887,0.0553309167521561
"fungi.SPEGAR.ARPU.3B",-0.0389265443485418,0.103857748846564
"fungi.SPEGAR.BOER.1B",-0.0362156786429842,0.100121749190322
"fungi.Grass.BOER.5",-0.0325547126441045,0.0822615781373724
"fungi.Ecotone.LATR.2",-0.0350541072511187,0.0828343542816176
"fungi.SPEGAR.BOGR.4B",-0.0375433970277219,0.0988904402785902
"fungi.Ecotone.LATR.3",-0.036749459225126,0.0928306359259546
"fungi.SPEGAR.ARPU.2B",-0.0314632832802176,0.0939166460025576
"fungi.Shrub.LATR.6",-0.0324065185528812,0.102372290912256
"fungi.Ecotone.BOER.2",-0.0318201138124271,0.0921881766974886
"fungi.Ecotone.LATR.7",-0.0352936106364661,0.0924052967973476
"fungi.Ecotone.PLJA.7",-0.0406680565774415,0.10128116333134
"fungi.SPEGAR.ARPU.4B",-0.0338171754332795,0.0978173457138058
"fungi.SPEGAR.BOGR.3A",-0.0431643079429697,0.105743416437749
"fungi.SPEGAR.PLJA.3B",-0.0437246255580876,0.105109658591724
"fungi.Grass.BOGR.3",-0.0324473948299686,0.0828632508194935
"fungi.Shrub.LATR.2",-0.0326768181189838,0.0937694082266215
"fungi.SPEGAR.PLJA.2A",-0.042027989047037,0.104005809709842
"fungi.Shrub.LATR.4",-0.034325948765309,0.0951168492951893
"fungi.Ecotone.BOER.1",-0.0370278763544733,0.0903100645104927
"fungi.Ecotone.BOER.5",-0.0406151622249211,0.0917192566893708
"fungi.Grass.PLJA.7",-0.0257229120246443,0.0714586433209007
"fungi.SPEGAR.BOER.3B",-0.0277245206081683,0.0887429308042516
"fungi.Grass.BOER.2",-0.0386645818718629,0.0982831420340813
"fungi.SPEGAR.BOGR.2A",-0.0378149593562643,0.103480236133786
"fungi.Grass.BOGR.8",-0.037664363213295,0.108589004771712
"fungi.Grass.BOGR.6",-0.0319842727448545,0.0847399705049956
"fungi.Ecotone.BOER.6",-0.0363745924835521,0.0977410309328631
"fungi.Grass.PLJA.8",-0.0379656042594227,0.0853186592914984
"fungi.SPEGAR.PLJA.1B",-0.0380610626193431,0.0933690820364366
"fungi.Grass.BOGR.2",-0.0355806940840399,0.0829962887104801
"fungi.mock1",-0.0272507276963152,0.0226314496822662
"fungi.Grass.BOER.8",-0.0366847670497559,0.0901747643938871
"fungi.Grass.PLJA.3",-0.0367906840771412,0.0933103817267677
"fungi.SPEGAR.BOGR.4A",-0.0494500007750055,0.10847769997312
"fungi.Shrub.LATR.1",-0.0374868192068151,0.0981358158327335
"fungi.SPEGAR.BOGR.1A",-0.0332722457929572,0.097159710963992
"fungi.Grass.BOER.3",-0.0283069772833511,0.0667670946096901
"fungi.Ecotone.LATR.1",-0.0325574776682401,0.0902303432935149
"fungi.Ecotone.PLJA.6",-0.0293965723801447,0.0740984139567844
"fungi.Ecotone.PLJA.2",-0.0367795755849821,0.0998836315685309
"fungi.Grass.BOER.1",-0.0355980629470052,0.0869213063459538
"fungi.SPEGAR.BOER.3A",-0.0325858918020226,0.091248822453334
"fungi.Ecotone.PLJA.4",-0.0380617849216249,0.0941652463793741
"fungi.Grass.PLJA.4",-0.0408800473180862,0.0897772791659816
"fungi.SPEGAR.ARPU.3A",-0.0416303950358059,0.107746482688731
